,algorithm,n,p,out,out_2model,rss,iter,time,intercept,h_size,max_steps,leverage_ratio
230,MOEA-QR-BSA,30,2,0.45,1.0,56.68798698161097,15365,1.4730000495910645,True,17,100,0.2
231,BSA,30,2,0.45,1.0,56.68798698161097,15365,1.472000002861023,True,17,100,0.2
232,BAB,30,2,0.45,1.0,288.19425745337367,560259,0.9800000190734863,True,17,100,0.2
233,MOEA-QR-BAB,30,2,0.45,1.0,288.19425745337367,796214,0.9269999861717224,True,17,100,0.2
234,MOEA-QR-BSA,30,2,0.45,1.0,288.19425745337367,13797,1.465999960899353,True,17,100,0.2
235,BSA,30,2,0.45,1.0,288.19425745337367,13797,1.4839999675750732,True,17,100,0.2
236,BAB,30,2,0.45,1.0,119.13454498298886,192781,0.3529999852180481,True,17,100,0.2
237,MOEA-QR-BAB,30,2,0.45,1.0,119.13454498298887,872324,1.0700000524520874,True,17,100,0.2
238,MOEA-QR-BSA,30,2,0.45,1.0,119.13454498298884,17402,1.4759999513626099,True,17,100,0.2
239,BSA,30,2,0.45,1.0,119.13454498298884,17402,1.4769999980926514,True,17,100,0.2
240,BAB,30,2,0.1,0.4,13.554994863756813,57258,0.07400000095367432,True,17,100,0.2
241,MOEA-QR-BAB,30,2,0.1,0.4,13.554994863756813,856252,0.9810000061988831,True,17,100,0.2
242,MOEA-QR-BSA,30,2,0.1,0.4,13.554994863756805,11984,1.4450000524520874,True,17,100,0.2
243,BSA,30,2,0.1,0.4,13.554994863756805,11984,1.4450000524520874,True,17,100,0.2
244,BAB,30,2,0.1,0.4,2.0687697944943477,284205,0.5619999766349792,True,17,100,0.2
245,MOEA-QR-BAB,30,2,0.1,0.4,2.0687697944943477,1116291,1.4110000133514404,True,17,100,0.2
246,MOEA-QR-BSA,30,2,0.1,0.4,2.068769794494329,15428,1.475000023841858,True,17,100,0.2
247,BSA,30,2,0.1,0.4,2.068769794494329,15428,1.465000033378601,True,17,100,0.2
248,BAB,30,2,0.1,0.4,9.789638030071437,94367,0.17900000512599945,True,17,100,0.2
249,MOEA-QR-BAB,30,2,0.1,0.4,9.789638030071437,1256388,1.5850000381469727,True,17,100,0.2
250,MOEA-QR-BSA,30,2,0.1,0.4,9.789638030071444,15806,1.4759999513626099,True,17,100,0.2
251,BSA,30,2,0.1,0.4,9.789638030071444,15806,1.4789999723434448,True,17,100,0.2
252,BAB,30,2,0.1,0.4,66.75639435776944,159928,0.3479999899864197,True,17,100,0.2
253,MOEA-QR-BAB,30,2,0.1,0.4,66.75639435776944,970341,1.246000051498413,True,17,100,0.2
254,MOEA-QR-BSA,30,2,0.1,0.4,66.75639435776941,16345,1.4819999933242798,True,17,100,0.2
255,BSA,30,2,0.1,0.4,66.75639435776941,16345,1.475000023841858,True,17,100,0.2
256,BAB,30,2,0.1,0.4,41.38546183507829,139896,0.24699999392032623,True,17,100,0.2
257,MOEA-QR-BAB,30,2,0.1,0.4,41.38546183507829,952318,1.2740000486373901,True,17,100,0.2
258,MOEA-QR-BSA,30,2,0.1,0.4,41.38546183507829,14735,1.465000033378601,True,17,100,0.2
259,BSA,30,2,0.1,0.4,41.38546183507829,14735,1.4730000495910645,True,17,100,0.2
260,BAB,30,2,0.1,0.4,7.2380979633081814,189433,0.3479999899864197,True,17,100,0.2
261,MOEA-QR-BAB,30,2,0.1,0.4,7.238097963308204,937401,1.1399999856948853,True,17,100,0.2
